Komentar,label
"[ 'selain ' , 'ketiga ' , 'jeni ' , 'literatur ' , 'diata ' , 'jeni ' ]",negatif
"[ 'rancu ' , 'dibagian ' , 'mencari ' , 'kesamaan ' , 'ketidaksamaan ' , 'paper ' ]",negatif
"[ 'penggunaan ' , 'softwar ' , 'zotero ' , 'mendeley ' ]",positif
"[ 'softwar ' , 'berbeda ' , 'penggunaannya ' ]",negatif
"[ 'membedakan ' , 'literatur ' , 'review ' , 'naratif ' , 'literatur ' , 'review ' , 'kualitatif ' , 'literatur ' , 'review ' , 'kuantitatif ' ]",negatif
"[ 'ya ' , 'bentuknya ' , 'penjelasan ' , 'tulisan ' , 'review ' ]",positif
"[ 'literatur ' , 'review ' , 'metod ' ]",negatif
[ 'ada ' ],netral
"[ 'selain ' , 'softwar ' , 'mendeley ' , 'zotero ' , 'mencari ' , 'pustakaliteratur ' , 'softwar ' ]",negatif
"[ 'softwar ' , 'nyari ' , 'pustaka ' , 'mengelola ' , 'pustaka ' , 'nyarinya ' , 'mah ' , 'googl ' , 'dll ' ]",positif
"[ 'apakah ' , 'literatur ' , 'riview ' , 'pak ' ]",netral
[ 'cara ' ],netral
"[ 'literatur ' , 'review ' , 'disalahgunakan ' ]",netral
"[ 'maksudnya ' , 'disalahgynakan ' , 'spt ' ]",positif
"[ 'pak ' , 'quotstat ' , 'of ' , 'artquot ' ]",netral
"[ 'dalam ' , 'penelitian ' , 'perkembangan ' , 'riset ' , 'terkini ' , 'bidang ' ]",positif
"[ 'maaf ' , 'suara ' , 'video ' ]",netral
"[ 'terima ' , 'kasih ' , 'masukannya ' , 'produksi ' , 'video ' , 'udah ' , 'rada ' , 'suaranya ' ]",positif
"[ 'membandingkan ' , 'metod ' , 'penelitian ' , 'masukan ' , 'kategori ' , 'membandingkan ' ]",negatif
"[ 'iya ' , 'spt ' , 'penjelasan ' , 'video ' ]",negatif
